id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!In households:,Margin of Error!!Total:!!In households:,Estimate!!Total:!!In households:!!Householder:,Margin of Error!!Total:!!In households:!!Householder:,Estimate!!Total:!!In households:!!Householder:!!Male:,Margin of Error!!Total:!!In households:!!Householder:!!Male:,Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Estimate!!Total:!!In households:!!Householder:!!Female:,Margin of Error!!Total:!!In households:!!Householder:!!Female:,Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Estimate!!Total:!!In households:!!Opposite-sex spouse,Margin of Error!!Total:!!In households:!!Opposite-sex spouse,Estimate!!Total:!!In households:!!Same-sex spouse,Margin of Error!!Total:!!In households:!!Same-sex spouse,Estimate!!Total:!!In households:!!Opposite-sex unmarried partner,Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner,Estimate!!Total:!!In households:!!Same-sex unmarried partner,Margin of Error!!Total:!!In households:!!Same-sex unmarried partner,Estimate!!Total:!!In households:!!Child:,Margin of Error!!Total:!!In households:!!Child:,Estimate!!Total:!!In households:!!Child:!!Biological child,Margin of Error!!Total:!!In households:!!Child:!!Biological child,Estimate!!Total:!!In households:!!Child:!!Adopted child,Margin of Error!!Total:!!In households:!!Child:!!Adopted child,Estimate!!Total:!!In households:!!Child:!!Stepchild,Margin of Error!!Total:!!In households:!!Child:!!Stepchild,Estimate!!Total:!!In households:!!Grandchild,Margin of Error!!Total:!!In households:!!Grandchild,Estimate!!Total:!!In households:!!Brother or sister,Margin of Error!!Total:!!In households:!!Brother or sister,Estimate!!Total:!!In households:!!Parent,Margin of Error!!Total:!!In households:!!Parent,Estimate!!Total:!!In households:!!Parent-in-law,Margin of Error!!Total:!!In households:!!Parent-in-law,Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law,Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law,Estimate!!Total:!!In households:!!Other relatives,Margin of Error!!Total:!!In households:!!Other relatives,Estimate!!Total:!!In households:!!Foster child,Margin of Error!!Total:!!In households:!!Foster child,Estimate!!Total:!!In households:!!Other nonrelatives,Margin of Error!!Total:!!In households:!!Other nonrelatives,Estimate!!Total:!!In group quarters,Margin of Error!!Total:!!In group quarters
0400000US33,New Hampshire,1359711,*****,1318638,*****,541396,5389,274934,5930,69116,4416,205818,6321,266462,5797,80550,4098,185912,5351,270009,6187,3487,957,46278,3418,1640,691,343786,7316,318112,7638,7752,1977,17922,2620,26409,3791,7677,1700,11959,2093,3504,1023,6955,1713,11408,2544,1000,646,43130,5567,41073,*****
0400000US34,New Jersey,8882190,*****,8701703,*****,3286264,9466,1656688,13484,357288,8942,1299400,15014,1629576,12768,510241,9235,1119335,14991,1650266,15191,14456,2171,171428,6363,7935,1676,2720799,21003,2592530,21036,44151,4579,84118,5833,173896,10160,107964,7574,139728,8743,33755,3717,34872,3478,133955,10192,3698,1452,222687,11354,180487,*****
0400000US35,New Mexico,2096829,*****,2053922,*****,793420,7074,393230,7169,120305,5182,272925,7755,400190,8031,128225,5062,271965,7781,326408,7491,4581,1087,55867,4285,3274,982,616686,11240,578974,10956,13251,2299,24461,3564,72889,5875,33141,4314,31984,4228,4898,1776,10596,2206,32459,4731,3084,1782,64635,7222,42907,*****
0400000US36,New York,19453561,*****,18884948,*****,7446812,13820,3584448,21382,972786,14538,2611662,25300,3862364,22662,1298175,17739,2564189,24560,3181842,27123,40109,3142,455626,12713,25548,2363,5536169,22920,5295615,23223,92800,7587,147754,9125,420585,15214,260969,11997,303546,13808,59559,4861,85716,4816,330201,15319,13907,3119,724359,19894,568613,*****
0400000US37,North Carolina,10488084,*****,10207193,*****,4046348,15467,1974659,16851,498216,11039,1476443,19720,2071689,17768,659383,12028,1412306,18649,1909888,22658,16401,1968,235975,9907,11512,1843,2956063,22764,2754393,23597,72298,6932,129372,7962,260413,14553,112429,7665,125615,7907,26758,3235,35972,4258,116251,7981,7670,2124,345898,16271,280891,*****
0400000US38,North Dakota,762062,*****,737727,*****,323519,3879,171555,4162,56067,3591,115488,4616,151964,3911,52814,3708,99150,4171,150443,4781,425,270,22950,2548,183,180,196498,5556,183115,5974,4556,1212,8827,1621,10373,1980,3564,968,2875,1152,711,543,941,524,4529,1256,918,575,19798,3012,24335,*****
0400000US39,Ohio,11689100,*****,11371814,*****,4730340,12955,2347466,15690,671599,12035,1675867,16862,2382874,14555,798630,11432,1584244,15545,2111387,19080,15421,1947,332696,9325,15637,1827,3215320,22969,2987596,23886,68379,5155,159345,9146,260514,13319,95778,6102,94665,6256,24426,3630,32661,3143,111588,9411,8516,1831,322865,11864,317286,*****
0400000US40,Oklahoma,3956971,*****,3846912,*****,1495151,7032,757496,7223,199418,5249,558078,8197,737655,8288,228750,6717,508905,8619,709052,7768,4901,869,87938,4141,4821,889,1142256,9775,1041176,11429,36556,3667,64524,4622,114489,6061,43254,4716,39049,3494,9192,1704,17435,2306,49881,4103,4728,1295,124765,7268,110059,*****
0400000US41,Oregon,4217737,*****,4128526,*****,1649352,8550,822446,8693,207861,6436,614585,10379,826906,9807,256235,7889,570671,10553,769508,11238,11484,1915,132039,6381,8476,1579,1084392,11089,998845,11938,33924,4326,51623,4784,75149,6125,41867,4258,47043,4606,10439,2215,23013,2547,50654,6206,5318,1695,219792,11398,89211,*****
0400000US42,Pennsylvania,12801989,*****,12380244,*****,5119249,11502,2538627,17874,686302,10025,1852325,16737,2580622,18488,857248,11409,1723374,17734,2352463,17168,19050,2180,343503,9303,17053,2244,3451643,16922,3241816,17450,76790,5488,133037,7728,280684,14464,114633,8530,127639,6760,27923,2933,37738,3622,123124,9218,11437,3037,354105,13885,421745,*****
